date,approving
2016-01-30,48
2016-01-29,48
2016-01-28,48
2016-01-27,48
2016-01-26,48
2016-01-25,48
2016-01-24,48
2016-01-23,48
2016-01-22,48
2016-01-21,48
2016-01-20,48
2016-01-19,48
2016-01-18,48
2016-01-17,48
2016-01-16,48
2016-01-15,48
2016-01-14,48
2016-01-13,48
2016-01-12,48
2016-01-11,48
2016-01-10,47
2016-01-09,47
2016-01-08,47
2016-01-07,47
2016-01-06,47
2016-01-05,47
2016-01-04,47
2016-01-03,45
2016-01-02,45
2016-01-01,45
2015-12-31,45
2015-12-30,45
2015-12-29,45
2015-12-28,45
2015-12-27,48
2015-12-26,48
2015-12-25,48
2015-12-24,48
2015-12-23,48
2015-12-22,48
2015-12-21,48
2015-12-20,45
2015-12-19,45
2015-12-18,45
2015-12-17,45
2015-12-16,45
2015-12-15,45
2015-12-14,45
2015-12-13,45
2015-12-12,45
2015-12-11,45
2015-12-10,45
2015-12-09,45
2015-12-08,45
2015-12-07,45
2015-12-06,47
2015-12-05,47
2015-12-04,47
2015-12-03,47
2015-12-02,47
2015-12-01,47
2015-11-30,47
2015-11-29,46
2015-11-28,46
2015-11-27,46
2015-11-26,46
2015-11-25,46
2015-11-24,46
2015-11-23,46
2015-11-22,44
2015-11-21,44
2015-11-20,44
2015-11-19,44
2015-11-18,44
2015-11-17,44
2015-11-16,44
2015-11-15,49
2015-11-14,49
2015-11-13,49
2015-11-12,49
2015-11-11,49
2015-11-10,49
2015-11-09,49
2015-11-08,49
2015-11-07,49
2015-11-06,49
2015-11-05,49
2015-11-04,49
2015-11-03,49
2015-11-02,49
2015-11-01,47
2015-10-31,47
2015-10-30,47
2015-10-29,47
2015-10-28,47
2015-10-27,47
2015-10-26,47
2015-10-25,46
2015-10-24,46
2015-10-23,46
2015-10-22,46
2015-10-21,46
2015-10-20,46
2015-10-19,46
2015-10-18,46
2015-10-17,46
2015-10-16,46
2015-10-15,46
2015-10-14,46
2015-10-13,46
2015-10-12,46
2015-10-11,46
2015-10-10,46
2015-10-09,46
2015-10-08,46
2015-10-07,46
2015-10-06,46
2015-10-05,46
2015-10-04,47
2015-10-03,47
2015-10-02,47
2015-10-01,47
2015-09-30,47
2015-09-29,47
2015-09-28,47
2015-09-27,48
2015-09-26,48
2015-09-25,48
2015-09-24,48
2015-09-23,48
2015-09-22,48
2015-09-21,48
2015-09-20,46
2015-09-19,46
2015-09-18,46
2015-09-17,46
2015-09-16,46
2015-09-15,46
2015-09-14,46
2015-09-13,46
2015-09-12,46
2015-09-11,46
2015-09-10,46
2015-09-09,46
2015-09-08,46
2015-09-07,46
2015-09-06,46
2015-09-05,46
2015-09-04,46
2015-09-03,46
2015-09-02,46
2015-09-01,46
2015-08-31,46
2015-08-30,46
2015-08-29,46
2015-08-28,46
2015-08-27,46
2015-08-26,46
2015-08-25,46
2015-08-24,46
2015-08-23,44
2015-08-22,44
2015-08-21,44
2015-08-20,44
2015-08-19,44
2015-08-18,44
2015-08-17,44
2015-08-16,46
2015-08-15,46
2015-08-14,46
2015-08-13,46
2015-08-12,46
2015-08-11,46
2015-08-10,46
2015-08-09,46
2015-08-08,46
2015-08-07,46
2015-08-06,46
2015-08-05,46
2015-08-04,46
2015-08-03,46
2015-08-02,46
2015-08-01,46
2015-07-31,46
2015-07-30,46
2015-07-29,46
2015-07-28,46
2015-07-27,46
2015-07-26,46
2015-07-25,46
2015-07-24,46
2015-07-23,46
2015-07-22,46
2015-07-21,46
2015-07-20,46
2015-07-19,46
2015-07-18,46
2015-07-17,46
2015-07-16,46
2015-07-15,46
2015-07-14,46
2015-07-13,46
2015-07-12,46
2015-07-11,46
2015-07-10,46
2015-07-09,46
2015-07-08,46
2015-07-07,46
2015-07-06,46
2015-07-05,46
2015-07-04,46
2015-07-03,46
2015-07-02,46
2015-07-01,46
2015-06-30,46
2015-06-29,46
2015-06-28,47
2015-06-27,47
2015-06-26,47
2015-06-25,47
2015-06-24,47
2015-06-23,47
2015-06-22,47
2015-06-21,45
2015-06-20,45
2015-06-19,45
2015-06-18,45
2015-06-17,45
2015-06-16,45
2015-06-15,45
2015-06-14,45
2015-06-13,45
2015-06-12,45
2015-06-11,45
2015-06-10,45
2015-06-09,45
2015-06-08,45
2015-06-07,46
2015-06-06,46
2015-06-05,46
2015-06-04,46
2015-06-03,46
2015-06-02,46
2015-06-01,46
2015-05-31,47
2015-05-30,47
2015-05-29,47
2015-05-28,47
2015-05-27,47
2015-05-26,47
2015-05-25,47
2015-05-24,46
2015-05-23,46
2015-05-22,46
2015-05-21,46
2015-05-20,46
2015-05-19,46
2015-05-18,46
2015-05-17,47
2015-05-16,47
2015-05-15,47
2015-05-14,47
2015-05-13,47
2015-05-12,47
2015-05-11,47
2015-05-10,47
2015-05-09,47
2015-05-08,47
2015-05-07,47
2015-05-06,47
2015-05-05,47
2015-05-04,47
2015-05-03,48
2015-05-02,48
2015-05-01,48
2015-04-30,48
2015-04-29,48
2015-04-28,48
2015-04-27,48
2015-04-26,45
2015-04-25,45
2015-04-24,45
2015-04-23,45
2015-04-22,45
2015-04-21,45
2015-04-20,45
2015-04-19,46
2015-04-18,46
2015-04-17,46
2015-04-16,46
2015-04-15,46
2015-04-14,46
2015-04-13,46
2015-04-12,48
2015-04-11,48
2015-04-10,48
2015-04-09,48
2015-04-08,48
2015-04-07,48
2015-04-06,48
2015-04-05,47
2015-04-04,47
2015-04-03,47
2015-04-02,47
2015-04-01,47
2015-03-31,47
2015-03-30,47
2015-03-29,46
2015-03-28,46
2015-03-27,46
2015-03-26,46
2015-03-25,46
2015-03-24,46
2015-03-23,46
2015-03-22,45
2015-03-21,45
2015-03-20,45
