,modeldate,text,retweet_count,favorite_count
42,2021-03-25 21:05:22,"RT @POTUS: Before I took office, I set a big goal of 100 million shots in my first 100 days.
 
We hit the goal on day 58.
 
Now, I’m settin…",10209,0
43,2021-03-25 17:27:59,"RT @POTUS: This afternoon, I’m holding my first formal press conference as president. Tune in. https://t.co/dvl1RAtOjr",2638,0
44,2021-03-24 16:36:04,"RT @WHCOVIDResponse: In total, 84 million people -- about 1 in 3 adults -- have received at least one dose of the vaccine and more than 45…",1814,0
45,2021-03-24 00:52:38,"RT @WhiteHouse: President Biden believes every single American deserves access to quality, affordable health care. Here’s a breakdown of ho…",3131,0
46,2021-03-23 17:33:46,RT @POTUS: Jill and I are devastated for the lives that have been shattered by gun violence in Colorado. Less than a week after the horrifi…,5216,0
47,2021-03-22 21:09:33,RT @WhiteHouse: Big news: The Biden-Harris Administration set a new record this weekend with 6 million shots reported administered. We’re r…,4031,0
48,2021-03-22 18:04:25,"RT @POTUS: Under the American Rescue Plan, the typical family of four is getting a $5,600 check. That money helps folks keep a roof over th…",7786,0
49,2021-03-21 23:35:58,"RT @POTUS: Mask up, America. https://t.co/6yaUHYmzWC",19687,0
50,2021-03-21 14:33:23,"RT @WhiteHouse: Before President Biden took office, the U.S. was administering an average of 900,000 COVID-19 vaccine doses a day.

Last we…",4052,0
51,2021-03-20 14:48:15,"RT @POTUS: Like countless people across the country, Jocelyn and her family are struggling to make ends meet. I gave her a call to discuss…",3733,0
52,2021-03-19 22:53:25,"RT @POTUS: Words have consequences. 

It’s called the coronavirus.

Full stop.",23795,0
53,2021-03-19 19:27:10,"RT @POTUS: This afternoon, Vice President Harris and I are meeting with Asian American leaders in Atlanta, Georgia. We’re going to discuss…",7600,0
54,2021-03-19 01:22:06,"RT @WhiteHouse: Big News: President Biden announced that tomorrow, our Administration will hit 100 million COVID-19 shots administered. 

T…",6294,0
55,2021-03-18 20:01:03,"RT @POTUS: In honor of the victims of the senseless shootings in Atlanta, I’ve ordered the flag of the United States to be flown at half-st…",7536,0
56,2021-03-18 01:20:33,"RT @POTUS: Jill and I are keeping everyone impacted by the shootings in Atlanta in our prayers. We don’t yet know the motive, but what we d…",11501,0
57,2021-03-16 21:05:40,"RT @WhiteHouse: Across the country, millions of small businesses are struggling to keep their doors open. Here’s a breakdown of how the Ame…",2000,0
58,2021-03-16 16:15:39,RT @POTUS: That’s the American Rescue Plan. https://t.co/7pE89mi4C6,3631,0
59,2021-03-15 21:41:10,"RT @WHCOVIDResponse: Over the weekend, we administered nearly 6 million doses of the COVID-19 vaccine. 

Today, for the first time on a Mon…",1679,0
60,2021-03-15 17:25:34,"RT @POTUS: Last week, I signed the American Rescue Plan into law and direct payments have begun going out to folks across the country. I kn…",3399,0
61,2021-03-14 23:23:46,RT @WhiteHouse: The Biden-Harris Administration has been working around the clock to get America vaccinated. We’ve doubled daily vaccinatio…,3584,0
62,2021-03-14 15:12:51,"It matters whether you continue to wear a mask.  
It matters whether you continue to socially distance.  
It matters whether you wash your hands.  

It all matters and can help save lives.",32145,244082
63,2021-03-13 20:38:58,RT @POTUS: To everyone out there who’s hurting or struggling to get by: help is here. https://t.co/fkME0yMmBK,4221,0
64,2021-03-13 17:42:27,"The American Rescue Plan means a $7,000 check for a single mom of four. It means more support to safely and quickly reopen schools. It means setting up additional vaccination sites to help America get back to normal. 

What does the American Rescue Plan mean to you?",11910,132019
65,2021-03-12 19:34:12,"RT @POTUS: This afternoon, I’m joining Vice President Harris and members of Congress to celebrate the passage of the American Rescue Plan.…",3320,0
66,2021-03-12 16:30:45,"85% of American households will get direct checks from the American Rescue Plan.

For so many Americans, that means they can pay the rent. That means they can put food on the table.  

Share below what the American Rescue Plan will do for you.",15573,155028
67,2021-03-12 01:28:15,RT @POTUS: All adult Americans will be eligible to get the vaccine no later than May 1.,27127,0
68,2021-03-11 21:49:48,"RT @POTUS: Before I took office, I promised you that help was on the way. Today, I signed the American Rescue Plan into law, and can offici…",12575,0
69,2021-03-10 20:37:40,"RT @WhiteHouse: From $1,400 checks and unemployment relief to vaccines for every American — help is here. https://t.co/R0AYaTbkTV",3252,0
70,2021-03-10 19:58:45,RT @POTUS: Help is here. https://t.co/urZCiigeS1,9839,0
71,2021-03-10 15:09:16,"RT @POTUS: Keep the faith, folks. We will get through this. https://t.co/AMlyu4pU6M",5438,0
72,2021-03-09 21:32:10,RT @POTUS: I want every child to know that this is what vice presidents and generals in the United States Armed Forces look like. https://t…,30842,0
73,2021-03-09 18:35:14,RT @POTUS: I believe every worker deserves a free and fair choice to join a union — and the PRO Act will bring us closer to that reality. I…,7498,0
74,2021-03-08 22:18:59,"RT @VP: On this #InternationalWomensDay, I want to honor the women who for over a year have gone to work, often risking their health, to no…",7971,0
75,2021-03-08 15:35:18,"RT @WhiteHouse: Last week, the Biden-Harris Administration: 

- Began administering the single-dose Johnson &amp; Johnson vaccine
- Secured eno…",3633,0
76,2021-03-07 16:53:11,"RT @POTUS: The legacy of Selma is that while nothing can stop free people from exercising their most sacred power as citizens, there are th…",6567,0
77,2021-03-06 19:52:39,"RT @POTUS: When I took office, I promised help was on the way. Thanks to @SenSchumer and Senate Democrats, we've taken one more giant step…",10330,0
78,2021-03-06 16:56:40,"RT @WhiteHouse: Tammy is a health care professional and single mother of four children — and like countless other Americans, she’s struggli…",1497,0
79,2021-03-05 20:06:03,"RT @POTUS: With the Johnson &amp; Johnson vaccine, we now have a third safe and effective COVID-19 vaccine being administered across the countr…",3030,0
80,2021-03-04 19:52:05,"RT @POTUS: The right to vote is sacred and fundamental — and H.R. 1 is urgently needed to protect that right, to safeguard the integrity of…",11478,0
81,2021-03-03 21:48:07,"RT @WhiteHouse: In the two weeks since the Biden-Harris Administration opened a special enrollment period for health insurance, over 200,00…",2705,0
82,2021-03-03 14:43:25,RT @POTUS: An educator is leading the Department of Education once again. I look forward to working with @SecCardona to safely reopen our n…,3624,0
83,2021-03-02 22:14:30,"RT @WhiteHouse: Today, President Biden announced a breakthrough collaboration between Johnson &amp; Johnson, Merck, and the federal government…",6242,0
