president,subgroup,modeldate,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo,timestamp
Joseph R. Biden Jr.,All polls,4/9/2021,53.59475,58.946257,48.243243,39.569551,45.419905,33.719198,15:21:06  9 Apr 2021
Joseph R. Biden Jr.,Voters,4/8/2021,53.771709,59.281973,48.261446,41.086602,46.95233,35.220873,20:50:08  8 Apr 2021
Joseph R. Biden Jr.,Adults,4/8/2021,53.133518,58.063587,48.203449,38.169146,42.9659,33.372393,20:50:07  8 Apr 2021
Joseph R. Biden Jr.,All polls,4/8/2021,53.348828,58.479644,48.218013,39.690286,45.667518,33.713054,20:50:07  8 Apr 2021
Joseph R. Biden Jr.,Voters,4/7/2021,53.61531,59.243755,47.986866,41.149734,47.141924,35.157544,11:08:07  7 Apr 2021
Joseph R. Biden Jr.,Adults,4/7/2021,52.903976,57.969453,47.838499,38.49487,43.372804,33.616937,11:08:06  7 Apr 2021
Joseph R. Biden Jr.,All polls,4/7/2021,53.11851,58.418135,47.818885,39.950253,46.021052,33.879454,11:08:06  7 Apr 2021
Joseph R. Biden Jr.,Adults,4/6/2021,53.750683,58.748831,48.752536,38.024683,42.86759,33.181776,10:01:07  6 Apr 2021
Joseph R. Biden Jr.,Voters,4/6/2021,53.346771,59.171372,47.522169,41.322623,47.410534,35.234712,10:01:08  6 Apr 2021
Joseph R. Biden Jr.,All polls,4/6/2021,53.618386,58.985327,48.251444,39.609798,45.666085,33.55351,10:01:07  6 Apr 2021
Joseph R. Biden Jr.,Voters,4/5/2021,53.399975,59.164134,47.635816,41.25864,47.233888,35.283391,16:44:05  5 Apr 2021
Joseph R. Biden Jr.,Adults,4/5/2021,53.750683,58.748831,48.752536,38.024683,42.86759,33.181776,16:44:05  5 Apr 2021
Joseph R. Biden Jr.,All polls,4/5/2021,53.678575,59.021563,48.335586,39.51854,45.503344,33.533736,16:44:04  5 Apr 2021
Joseph R. Biden Jr.,Voters,4/4/2021,53.414394,58.964923,47.863864,40.741482,46.537841,34.945123,21:48:05  4 Apr 2021
Joseph R. Biden Jr.,Adults,4/4/2021,54.101637,59.610897,48.592378,39.069804,43.536963,34.602646,21:48:04  4 Apr 2021
Joseph R. Biden Jr.,All polls,4/4/2021,53.911609,59.447712,48.375507,39.903956,45.351681,34.456231,21:48:04  4 Apr 2021
Joseph R. Biden Jr.,Adults,4/3/2021,54.090783,59.597719,48.583846,39.075651,43.5397,34.611603,18:53:04  3 Apr 2021
Joseph R. Biden Jr.,Voters,4/3/2021,53.414394,58.964923,47.863864,40.741482,46.537841,34.945123,18:53:05  3 Apr 2021
Joseph R. Biden Jr.,All polls,4/3/2021,53.906377,59.440656,48.372099,39.90923,45.354757,34.463703,18:53:04  3 Apr 2021
Joseph R. Biden Jr.,Voters,4/2/2021,53.414394,58.964923,47.863864,40.741482,46.537841,34.945123,15:20:07  2 Apr 2021
Joseph R. Biden Jr.,Adults,4/2/2021,54.059849,59.631483,48.488215,38.898691,43.364984,34.432398,15:20:07  2 Apr 2021
Joseph R. Biden Jr.,All polls,4/2/2021,53.864386,59.437376,48.291396,39.829318,45.316515,34.342121,15:20:07  2 Apr 2021
Joseph R. Biden Jr.,Adults,4/1/2021,53.927752,59.520587,48.334918,38.370304,42.790595,33.950013,23:17:05  1 Apr 2021
Joseph R. Biden Jr.,Voters,4/1/2021,53.43079,58.884899,47.976681,40.702125,46.415696,34.988555,23:17:05  1 Apr 2021
Joseph R. Biden Jr.,All polls,4/1/2021,53.790376,59.340111,48.24064,39.429603,44.920739,33.938467,23:17:04  1 Apr 2021
Joseph R. Biden Jr.,Voters,3/31/2021,53.554584,58.942382,48.166785,40.571212,46.160675,34.981749,19:48:07 31 Mar 2021
Joseph R. Biden Jr.,Adults,3/31/2021,54.348348,59.929272,48.767423,38.474126,42.879017,34.069235,19:48:07 31 Mar 2021
Joseph R. Biden Jr.,All polls,3/31/2021,54.106209,59.590448,48.62197,39.480767,44.801595,34.159939,19:48:06 31 Mar 2021
Joseph R. Biden Jr.,Adults,3/30/2021,54.251968,59.195056,49.308881,38.487069,43.158174,33.815964,15:48:05 30 Mar 2021
Joseph R. Biden Jr.,Voters,3/30/2021,53.885691,59.283695,48.487687,40.246736,45.955217,34.538254,15:48:06 30 Mar 2021
Joseph R. Biden Jr.,All polls,3/30/2021,53.904588,59.035834,48.773341,39.536628,45.018858,34.054398,15:48:05 30 Mar 2021
Joseph R. Biden Jr.,Adults,3/29/2021,54.556102,59.814657,49.297546,38.359103,43.356036,33.36217,16:18:06 29 Mar 2021
Joseph R. Biden Jr.,Voters,3/29/2021,54.204771,59.9289,48.480641,40.03133,46.190601,33.872059,16:18:06 29 Mar 2021
Joseph R. Biden Jr.,All polls,3/29/2021,54.124379,59.497132,48.751627,39.430828,45.285086,33.57657,16:18:05 29 Mar 2021
Joseph R. Biden Jr.,All polls,3/28/2021,54.021847,59.337705,48.705988,39.66327,45.38502,33.94152,11:09:06 29 Mar 2021
Joseph R. Biden Jr.,Voters,3/28/2021,54.033249,59.566492,48.500006,40.049159,46.020973,34.077346,11:09:08 29 Mar 2021
Joseph R. Biden Jr.,Adults,3/28/2021,54.557332,59.976953,49.137712,38.710858,43.792814,33.628902,11:09:07 29 Mar 2021
Joseph R. Biden Jr.,All polls,3/27/2021,54.021847,59.337705,48.705988,39.66327,45.38502,33.94152,11:09:06 29 Mar 2021
Joseph R. Biden Jr.,Adults,3/27/2021,54.557332,59.976953,49.137712,38.710858,43.792814,33.628902,11:09:08 29 Mar 2021
Joseph R. Biden Jr.,Voters,3/27/2021,54.033249,59.566492,48.500006,40.049159,46.020973,34.077346,11:09:09 29 Mar 2021
Joseph R. Biden Jr.,Adults,3/26/2021,54.557332,59.976953,49.137712,38.710858,43.792814,33.628902,16:53:05 26 Mar 2021
Joseph R. Biden Jr.,Voters,3/26/2021,54.033249,59.566492,48.500006,40.049159,46.020973,34.077346,16:53:05 26 Mar 2021
Joseph R. Biden Jr.,All polls,3/26/2021,54.021847,59.337705,48.705988,39.66327,45.38502,33.94152,16:53:04 26 Mar 2021
Joseph R. Biden Jr.,Voters,3/25/2021,53.854973,59.293242,48.416704,40.052007,46.012249,34.091766,21:13:05 25 Mar 2021
Joseph R. Biden Jr.,Adults,3/25/2021,54.556516,60.120728,48.992304,38.783132,43.957024,33.60924,21:13:04 25 Mar 2021
Joseph R. Biden Jr.,All polls,3/25/2021,53.974147,59.306329,48.641965,39.712355,45.479287,33.945423,21:13:04 25 Mar 2021
Joseph R. Biden Jr.,Voters,3/24/2021,54.132135,59.622079,48.642191,40.466474,46.224973,34.707975,13:16:06 24 Mar 2021
Joseph R. Biden Jr.,Adults,3/24/2021,54.874908,60.443794,49.306022,38.404315,43.523636,33.284994,13:16:06 24 Mar 2021
Joseph R. Biden Jr.,All polls,3/24/2021,54.380435,59.754023,49.006848,39.780839,45.398773,34.162905,13:16:06 24 Mar 2021
Joseph R. Biden Jr.,Adults,3/23/2021,55.376763,60.761786,49.991739,38.120135,43.12557,33.114701,09:57:05 23 Mar 2021
Joseph R. Biden Jr.,Voters,3/23/2021,54.812867,60.444492,49.181242,39.57051,45.474509,33.666511,09:57:06 23 Mar 2021
Joseph R. Biden Jr.,All polls,3/23/2021,54.974286,60.295579,49.652992,39.208636,44.758353,33.658918,09:57:05 23 Mar 2021
Joseph R. Biden Jr.,Voters,3/22/2021,54.92175,60.467818,49.375682,39.437541,45.19857,33.676511,13:27:06 22 Mar 2021
Joseph R. Biden Jr.,Adults,3/22/2021,55.376763,60.761786,49.991739,38.120135,43.12557,33.114701,13:27:05 22 Mar 2021
Joseph R. Biden Jr.,All polls,3/22/2021,55.064562,60.307053,49.82207,39.104932,44.510876,33.698988,13:27:05 22 Mar 2021
Joseph R. Biden Jr.,Voters,3/21/2021,53.827543,59.102381,48.552705,40.737961,46.063465,35.412457,09:38:08 22 Mar 2021
Joseph R. Biden Jr.,All polls,3/21/2021,54.326912,59.37968,49.274143,39.946276,45.112256,34.780296,09:38:06 22 Mar 2021
Joseph R. Biden Jr.,Adults,3/21/2021,54.431898,59.721567,49.142229,38.963521,43.921238,34.005804,09:38:07 22 Mar 2021
Joseph R. Biden Jr.,Adults,3/20/2021,54.431898,59.721567,49.142229,38.963521,43.921238,34.005804,09:38:07 22 Mar 2021
Joseph R. Biden Jr.,Voters,3/20/2021,53.827543,59.102381,48.552705,40.737961,46.063465,35.412457,09:38:08 22 Mar 2021
Joseph R. Biden Jr.,All polls,3/20/2021,54.326912,59.37968,49.274143,39.946276,45.112256,34.780296,09:38:06 22 Mar 2021
Joseph R. Biden Jr.,Voters,3/19/2021,53.827543,59.102381,48.552705,40.737961,46.063465,35.412457,12:55:07 19 Mar 2021
Joseph R. Biden Jr.,Adults,3/19/2021,54.431898,59.721567,49.142229,38.963521,43.921238,34.005804,12:55:06 19 Mar 2021
Joseph R. Biden Jr.,All polls,3/19/2021,54.326912,59.37968,49.274143,39.946276,45.112256,34.780296,12:55:06 19 Mar 2021
Joseph R. Biden Jr.,Voters,3/18/2021,53.251016,58.530787,47.971245,40.897037,46.275862,35.518211,20:54:05 18 Mar 2021
Joseph R. Biden Jr.,Adults,3/18/2021,54.431898,59.721567,49.142229,38.963521,43.921238,34.005804,20:54:05 18 Mar 2021
Joseph R. Biden Jr.,All polls,3/18/2021,54.036119,59.136122,48.936115,39.985409,45.20275,34.768067,20:54:05 18 Mar 2021
Joseph R. Biden Jr.,Adults,3/17/2021,53.808398,59.131589,48.485206,39.431897,44.318689,34.545105,17:05:05 17 Mar 2021
Joseph R. Biden Jr.,Voters,3/17/2021,53.273447,58.519344,48.027549,40.855667,46.157319,35.554015,17:05:06 17 Mar 2021
Joseph R. Biden Jr.,All polls,3/17/2021,53.585267,58.658379,48.512155,40.321243,45.385936,35.25655,17:05:05 17 Mar 2021
Joseph R. Biden Jr.,Voters,3/16/2021,52.319304,57.48026,47.158347,41.093549,46.412986,35.774112,13:47:05 16 Mar 2021
Joseph R. Biden Jr.,Adults,3/16/2021,54.237159,59.538213,48.936106,39.648534,44.465285,34.831783,13:47:05 16 Mar 2021
Joseph R. Biden Jr.,All polls,3/16/2021,53.88628,59.043547,48.729012,40.134543,45.143578,35.125508,13:47:04 16 Mar 2021
