president,subgroup,modeldate,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo,timestamp
Joseph R. Biden Jr.,Voters,2/17/2021,55.484934,60.263214,50.706655,38.125835,43.162002,33.089668,12:21:05 17 Feb 2021
Joseph R. Biden Jr.,Adults,2/17/2021,53.741777,58.598349,48.885205,36.97763,41.789753,32.165507,12:21:04 17 Feb 2021
Joseph R. Biden Jr.,All polls,2/17/2021,54.457794,59.108183,49.807406,37.774734,42.51952,33.029949,12:21:04 17 Feb 2021
Joseph R. Biden Jr.,Voters,2/16/2021,55.490819,60.475178,50.506459,37.523365,42.580575,32.466156,09:35:06 16 Feb 2021
Joseph R. Biden Jr.,Adults,2/16/2021,53.898887,58.584921,49.212853,36.336458,40.978745,31.694172,09:35:05 16 Feb 2021
Joseph R. Biden Jr.,All polls,2/16/2021,54.841579,59.566753,50.116405,37.396302,42.16459,32.628013,09:35:05 16 Feb 2021
Joseph R. Biden Jr.,All polls,2/15/2021,54.567261,59.123133,50.011389,37.251158,41.849722,32.652594,10:19:05 15 Feb 2021
Joseph R. Biden Jr.,Voters,2/15/2021,54.93626,59.728395,50.144124,37.584914,42.458746,32.711082,10:19:06 15 Feb 2021
Joseph R. Biden Jr.,Adults,2/15/2021,53.898887,58.584921,49.212853,36.336458,40.978745,31.694172,10:19:05 15 Feb 2021
Joseph R. Biden Jr.,All polls,2/14/2021,54.442678,58.915836,49.96952,37.233457,41.744487,32.722428,10:19:05 15 Feb 2021
Joseph R. Biden Jr.,Adults,2/14/2021,53.902411,58.587013,49.21781,36.333657,40.974981,31.692333,10:19:06 15 Feb 2021
Joseph R. Biden Jr.,Voters,2/14/2021,54.83609,59.525625,50.146556,37.572594,42.326914,32.818274,10:19:06 15 Feb 2021
Joseph R. Biden Jr.,Adults,2/13/2021,53.902411,58.587013,49.21781,36.333657,40.974981,31.692333,10:19:06 15 Feb 2021
Joseph R. Biden Jr.,All polls,2/13/2021,54.442678,58.915836,49.96952,37.233457,41.744487,32.722428,10:19:05 15 Feb 2021
Joseph R. Biden Jr.,Voters,2/13/2021,54.83609,59.525625,50.146556,37.572594,42.326914,32.818274,10:19:06 15 Feb 2021
Joseph R. Biden Jr.,Voters,2/12/2021,54.83609,59.525625,50.146556,37.572594,42.326914,32.818274,13:57:05 12 Feb 2021
Joseph R. Biden Jr.,Adults,2/12/2021,53.901415,58.58614,49.216691,36.334026,40.97549,31.692561,13:57:05 12 Feb 2021
Joseph R. Biden Jr.,All polls,2/12/2021,54.441821,58.915054,49.968589,37.233365,41.744463,32.722266,13:57:04 12 Feb 2021
Joseph R. Biden Jr.,Adults,2/11/2021,53.901415,58.58614,49.216691,36.334026,40.97549,31.692561,14:38:04 11 Feb 2021
Joseph R. Biden Jr.,Voters,2/11/2021,54.526538,59.194453,49.858623,37.389629,42.057544,32.721714,14:38:04 11 Feb 2021
Joseph R. Biden Jr.,All polls,2/11/2021,54.253095,58.74175,49.76444,37.14357,41.626375,32.660765,14:38:04 11 Feb 2021
Joseph R. Biden Jr.,Adults,2/10/2021,53.819949,58.549399,49.090499,36.374483,41.056421,31.692546,20:14:04 10 Feb 2021
Joseph R. Biden Jr.,Voters,2/10/2021,54.598591,59.219185,49.977997,37.221876,41.84247,32.601282,20:14:05 10 Feb 2021
Joseph R. Biden Jr.,All polls,2/10/2021,54.289854,58.806647,49.77306,37.10473,41.612598,32.596862,20:14:04 10 Feb 2021
Joseph R. Biden Jr.,Voters,2/9/2021,54.618043,59.204079,50.032008,36.591823,41.177859,32.005788,18:22:05  9 Feb 2021
Joseph R. Biden Jr.,Adults,2/9/2021,54.088334,58.635704,49.540965,36.225092,40.772461,31.677723,18:22:05  9 Feb 2021
Joseph R. Biden Jr.,All polls,2/9/2021,54.535052,58.914956,50.155148,36.935867,41.31577,32.555963,18:22:04  9 Feb 2021
Joseph R. Biden Jr.,Adults,2/8/2021,52.492644,56.920352,48.064936,35.296317,39.724025,30.868609,13:40:05  8 Feb 2021
Joseph R. Biden Jr.,Voters,2/8/2021,54.16811,58.807653,49.528567,36.77631,41.415853,32.136767,13:40:05  8 Feb 2021
Joseph R. Biden Jr.,All polls,2/8/2021,53.093442,57.492622,48.694262,36.748001,41.147182,32.348821,13:40:04  8 Feb 2021
Joseph R. Biden Jr.,Voters,2/7/2021,54.109605,58.626471,49.592739,36.430653,40.947519,31.913787,09:37:05  8 Feb 2021
Joseph R. Biden Jr.,All polls,2/7/2021,53.156742,57.454566,48.858918,36.3333,40.631125,32.035476,09:37:04  8 Feb 2021
Joseph R. Biden Jr.,Adults,2/7/2021,52.492644,56.920352,48.064936,35.296317,39.724025,30.868609,09:37:05  8 Feb 2021
Joseph R. Biden Jr.,Adults,2/6/2021,52.492644,56.920352,48.064936,35.296317,39.724025,30.868609,09:37:05  8 Feb 2021
Joseph R. Biden Jr.,All polls,2/6/2021,53.156742,57.454566,48.858918,36.3333,40.631125,32.035476,09:37:04  8 Feb 2021
Joseph R. Biden Jr.,Voters,2/6/2021,54.109605,58.626471,49.592739,36.430653,40.947519,31.913787,09:37:05  8 Feb 2021
Joseph R. Biden Jr.,Voters,2/5/2021,54.109605,58.626471,49.592739,36.430653,40.947519,31.913787,16:08:04  5 Feb 2021
Joseph R. Biden Jr.,Adults,2/5/2021,52.492644,56.920352,48.064936,35.296317,39.724025,30.868609,16:08:04  5 Feb 2021
Joseph R. Biden Jr.,All polls,2/5/2021,53.156742,57.454566,48.858918,36.3333,40.631125,32.035476,16:08:04  5 Feb 2021
Joseph R. Biden Jr.,Adults,2/4/2021,53.128767,57.639487,48.618048,34.518122,39.028841,30.007402,19:52:04  4 Feb 2021
Joseph R. Biden Jr.,Voters,2/4/2021,54.267424,58.745268,49.78958,36.173425,40.651269,31.695581,19:52:05  4 Feb 2021
Joseph R. Biden Jr.,All polls,2/4/2021,53.754728,58.106331,49.403126,35.837091,40.188694,31.485489,19:52:04  4 Feb 2021
Joseph R. Biden Jr.,Voters,2/3/2021,54.283461,58.724795,49.842128,36.02439,40.465724,31.583057,15:31:05  3 Feb 2021
Joseph R. Biden Jr.,Adults,2/3/2021,51.021856,55.628124,46.415588,33.047034,37.653302,28.440766,15:31:05  3 Feb 2021
Joseph R. Biden Jr.,All polls,2/3/2021,52.652548,57.026915,48.27818,35.189123,39.56349,30.814755,15:31:05  3 Feb 2021
Joseph R. Biden Jr.,Voters,2/2/2021,54.584754,59.032611,50.136898,35.380808,39.828664,30.932952,15:41:05  2 Feb 2021
Joseph R. Biden Jr.,Adults,2/2/2021,51.566172,56.188902,46.943442,31.239489,35.862219,26.616759,15:41:05  2 Feb 2021
Joseph R. Biden Jr.,All polls,2/2/2021,53.192157,57.597796,48.786518,34.236291,38.64193,29.830652,15:41:05  2 Feb 2021
Joseph R. Biden Jr.,Voters,2/1/2021,54.806276,59.286477,50.326076,34.998742,39.478943,30.518542,15:13:05  1 Feb 2021
Joseph R. Biden Jr.,Adults,2/1/2021,52.163875,56.76509,47.562659,31.623309,36.224525,27.022094,15:13:05  1 Feb 2021
Joseph R. Biden Jr.,All polls,2/1/2021,53.396059,57.835723,48.956395,34.003756,38.44342,29.564092,15:13:04  1 Feb 2021
Joseph R. Biden Jr.,Voters,1/31/2021,55.142022,59.780656,50.503388,35.632336,40.27097,30.993702,09:14:06  1 Feb 2021
Joseph R. Biden Jr.,All polls,1/31/2021,54.281215,58.884888,49.677542,34.557801,39.161473,29.954128,09:14:05  1 Feb 2021
Joseph R. Biden Jr.,Adults,1/31/2021,53.111271,58.022936,48.199606,31.162567,36.074232,26.250902,09:14:05  1 Feb 2021
Joseph R. Biden Jr.,Adults,1/30/2021,53.111271,58.022936,48.199606,31.162567,36.074232,26.250902,09:14:05  1 Feb 2021
Joseph R. Biden Jr.,Voters,1/30/2021,55.142022,59.780656,50.503388,35.632336,40.27097,30.993702,09:14:06  1 Feb 2021
Joseph R. Biden Jr.,All polls,1/30/2021,54.281215,58.884888,49.677542,34.557801,39.161473,29.954128,09:14:05  1 Feb 2021
Joseph R. Biden Jr.,Voters,1/29/2021,55.142022,59.780656,50.503388,35.632336,40.27097,30.993702,16:55:08 29 Jan 2021
Joseph R. Biden Jr.,Adults,1/29/2021,53.111271,58.022936,48.199606,31.162567,36.074232,26.250902,16:55:08 29 Jan 2021
Joseph R. Biden Jr.,All polls,1/29/2021,54.281215,58.884888,49.677542,34.557801,39.161473,29.954128,16:55:08 29 Jan 2021
Joseph R. Biden Jr.,Adults,1/28/2021,53.111271,58.022936,48.199606,31.162567,36.074232,26.250902,19:57:04 28 Jan 2021
Joseph R. Biden Jr.,Voters,1/28/2021,55.100066,59.707971,50.492161,35.737157,40.345062,31.129252,19:57:04 28 Jan 2021
Joseph R. Biden Jr.,All polls,1/28/2021,54.222706,58.79623,49.649183,34.663625,39.237149,30.090102,19:57:04 28 Jan 2021
Joseph R. Biden Jr.,Voters,1/27/2021,54.449358,59.16028,49.738435,36.011902,40.722825,31.30098,17:10:08 27 Jan 2021
Joseph R. Biden Jr.,Adults,1/27/2021,53.243714,58.364386,48.123041,31.5518,36.672473,26.431128,17:10:07 27 Jan 2021
Joseph R. Biden Jr.,All polls,1/27/2021,53.949072,58.633175,49.264969,35.09413,39.778233,30.410028,17:10:07 27 Jan 2021
Joseph R. Biden Jr.,Voters,1/26/2021,55.25678,60.25497,50.25858,37.59433,42.59253,32.59613,10:18:18 26 Jan 2021
Joseph R. Biden Jr.,All polls,1/26/2021,54.80725,59.79297,49.82153,37.49861,42.48433,32.51289,10:18:18 26 Jan 2021
Joseph R. Biden Jr.,Adults,1/26/2021,55,61.45853,48.54147,32,38.45853,25.54147,10:18:18 26 Jan 2021
Joseph R. Biden Jr.,Adults,1/25/2021,55,61.45853,48.54147,32,38.45853,25.54147,10:18:18 26 Jan 2021
Joseph R. Biden Jr.,Voters,1/25/2021,55.4547,60.47363,50.43578,37.35875,42.37767,32.33982,10:18:18 26 Jan 2021
Joseph R. Biden Jr.,All polls,1/25/2021,54.9925,59.99842,49.98658,37.27006,42.27598,32.26414,10:18:18 26 Jan 2021
Joseph R. Biden Jr.,Voters,1/24/2021,53.57021,58.83284,48.30757,36.14697,41.4096,30.88433,10:18:18 26 Jan 2021
Joseph R. Biden Jr.,All polls,1/24/2021,52.9743,58.21402,47.73458,36.03907,41.27879,30.79935,10:18:18 26 Jan 2021
Joseph R. Biden Jr.,Adults,1/24/2021,55,61.45853,48.54147,32,38.45853,25.54147,10:18:18 26 Jan 2021
Joseph R. Biden Jr.,Voters,1/23/2021,53.57021,58.83284,48.30757,36.14697,41.4096,30.88433,10:18:18 26 Jan 2021
Joseph R. Biden Jr.,All polls,1/23/2021,52.9743,58.21402,47.73458,36.03907,41.27879,30.79935,10:18:18 26 Jan 2021
Joseph R. Biden Jr.,Adults,1/23/2021,55,61.45853,48.54147,32,38.45853,25.54147,10:18:18 26 Jan 2021
